remote 0.009267 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x01 | 0x00 | 0x01 | 0x2a | 0x00 | 0x10
remote 0.048461 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x01 | 0xff | 0xff | 0x2a | 0x00 | 0x18
remote 0.088416 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x13
remote 0.128394 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x01 | 0x00 | 0x01 | 0x2a | 0x00 | 0x15
remote 0.168483 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x13
remote 0.209276 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x01 | 0x2a | 0x00 | 0x14
remote 0.248447 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x11
remote 0.288434 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x02 | 0x2a | 0x00 | 0x12
remote 0.328431 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x14
remote 0.368443 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x14
remote 0.408451 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x15
remote 0.449263 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x02 | 0x00 | 0x00 | 0x2a | 0x00 | 0x12
remote 0.488516 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x15
remote 0.528488 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x02 | 0x00 | 0x00 | 0x2a | 0x00 | 0x11
remote 0.568486 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x02 | 0x2a | 0x00 | 0x13
remote 0.608531 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0xff | 0xff | 0x2a | 0x00 | 0x15
remote 0.649353 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x01 | 0x00 | 0x01 | 0x2a | 0x00 | 0x16
remote 0.689311 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x01 | 0x00 | 0x03 | 0x2a | 0x00 | 0x10
remote 0.728530 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x17
remote 0.768436 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x00 | 0x00 | 0x01 | 0x2a | 0x00 | 0x11
remote 0.808439 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x01 | 0x2a | 0x00 | 0x14
remote 0.848522 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x13
remote 0.889312 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x01 | 0x2a | 0x00 | 0x14
remote 0.928538 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0xff | 0xff | 0x2a | 0x00 | 0x16
remote 0.968486 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0x00 | 0x01 | 0x2a | 0x00 | 0x13
remote 1.008488 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x15
remote 1.048595 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0xff | 0xff | 0x2a | 0x00 | 0x15
remote 1.088577 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0xff | 0xff | 0x00 | 0x00 | 0x2a | 0x00 | 0x19
