remote 0.039026 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe0 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x11
remote 0.079023 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x11
remote 0.119060 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x0f
remote 0.159492 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xdf | 0x03 | 0xf9 | 0x26 | 0x00 | 0x10
remote 0.199106 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x0f
remote 0.239155 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x11
remote 0.279147 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe2 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x0f
remote 0.319136 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x0f
remote 0.359242 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x0f
remote 0.399445 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xdf | 0x03 | 0xfb | 0x26 | 0x00 | 0x0d
remote 0.439202 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x0f
remote 0.479281 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0f
remote 0.519242 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe1 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x10
remote 0.559191 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0e
remote 0.599145 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x0f
remote 0.639478 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xdf | 0x03 | 0xf8 | 0x26 | 0x00 | 0x10
remote 0.679309 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xdf | 0x03 | 0xf8 | 0x26 | 0x00 | 0x10
remote 0.719213 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xdf | 0x03 | 0xf7 | 0x26 | 0x00 | 0x11
remote 0.759340 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe1 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0d
remote 0.799208 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x10
remote 0.839348 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe1 | 0x03 | 0xf9 | 0x26 | 0x00 | 0x0c
remote 0.879559 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x0f
